segment,controller,lataccel_cost,jerk_cost,total_cost,base_feedforward_gain,integrator,last_feedforward_err,last_feedforward_term,feedforward_saturated,integrator_clamp_hits,integrator_freeze_steps,integrator_clamp_steps,avg_pid_term_abs,max_action_abs,lataccel_cost_estimate,jerk_cost_estimate,total_cost_estimate,avg_v_ego,max_v_ego,avg_abs_roll_lataccel,avg_abs_target_lataccel,avg_abs_a_ego
00000,test,0.8151537497698067,37.33549830368829,78.09318579217862,1.0111620501940992,2.6903467833242445,0.20584013031696513,0.04908967085371195,0.0,2.0,0.0,2.0,0.1399292395890132,0.559173579540826,0.9873920455554663,45.68315630767951,95.05275858545284,33.612788637454976,33.95745537182112,0.2838466598304004,0.5750619526276408,0.07958124790793021
00000,baseline,0.7601549790489774,29.60017697457263,67.6079259270215,,,,,,,,,,,,,,33.612788637454976,33.95745537182112,0.2838466598304004,0.5750619526276408,0.07958124790793021
00001,test,0.41326668180294873,10.513331465887845,31.17666555603528,1.0014170385137102,3.1820373780416213,0.04510301245614532,-0.10341891590288826,0.0,0.0,0.0,0.0,0.17023523936054488,0.2556828933469021,0.34481548173795407,11.033472242628168,28.27424632952587,20.863346159452313,28.0530482405378,0.2258088748902554,0.055581570935787215,0.371692396888496
00001,baseline,0.40833144678321587,9.24167337741713,29.658245716577923,,,,,,,,,,,,,,20.863346159452313,28.0530482405378,0.2258088748902554,0.055581570935787215,0.371692396888496
00002,test,0.8256570761980939,27.73938915020026,69.02224296010496,1.0094246414494048,3.64857073558317,0.12100527192935986,-0.1691603186616617,0.0,8.0,0.0,8.0,0.18169522839183272,0.46974446403225834,1.0171126259097658,26.806963526900546,77.66259482238884,31.195890707859782,31.28840787121994,0.34196329566317,0.21521544451857702,0.03795551135144978
00002,baseline,0.7141772219873083,22.736576067685508,58.445437167050926,,,,,,,,,,,,,,31.195890707859782,31.28840787121994,0.34196329566317,0.21521544451857702,0.03795551135144978
00003,test,2.0198959426502006,29.985745622866038,130.98054275537606,1.0000287077326948,3.888353442447243,0.004887585532746819,-1.8866401404713118,0.0,37.0,0.0,37.0,0.2346599715315528,1.6222329886871591,4.332327666135847,29.4960719356948,246.11245524248716,11.412332944489625,19.18196868500007,0.3154453449770259,0.08163082973847416,0.6630810310409991
00003,baseline,0.4270200516491797,17.410460081322256,38.761462663781245,,,,,,,,,,,,,,11.412332944489625,19.18196868500007,0.3154453449770259,0.08163082973847416,0.6630810310409991
00004,test,6.074508406679782,13.17159978641986,316.89702012040897,1.0000000001181406,3.7616813294232645,0.004887585532746819,-1.5535794163827366,0.0,41.0,0.0,41.0,0.23888700878889096,1.3287157236802052,4.914816148420448,10.55329336687529,256.29410078789766,10.445296025159863,19.33064236868055,0.17469622644277316,0.032324189085458185,0.4369801784329688
00004,baseline,0.4026506810408542,8.13525899535786,28.267793047400573,,,,,,,,,,,,,,10.445296025159863,19.33064236868055,0.17469622644277316,0.032324189085458185,0.4369801784329688
